i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,1000,0.4,Louvain,False,False,False,4.102695941925049,0.5619952270317068,0.5992195105568252,0.9746040886841347
1,1000,0.4,Louvain,False,False,False,4.0757715702056885,0.5628005182067192,0.6017978997093869,0.941740770681757
2,1000,0.4,Louvain,False,False,False,3.720670461654663,0.5636947347478328,0.6017830219528861,0.9279124651362368
3,1000,0.4,Louvain,False,False,False,4.005871295928955,0.5642920849167773,0.5991741569170379,1.0
4,1000,0.4,Louvain,False,False,False,3.62056040763855,0.5621092222102126,0.5988024312174332,1.0
5,1000,0.4,Louvain,False,False,False,3.9218194484710693,0.5612755675849941,0.600472937419764,0.9744647105471848
6,1000,0.4,Louvain,False,False,False,3.90509033203125,0.5641436563870077,0.6034993823455272,0.9169039333544237
7,1000,0.4,Louvain,False,False,False,3.8838610649108887,0.5654622111999695,0.6011835120073565,0.9445114595898673
8,1000,0.4,Louvain,False,False,False,4.10514235496521,0.5605657083519446,0.6011372948994592,1.0
9,1000,0.4,Louvain,False,False,False,4.026302099227905,0.5620488768031379,0.5999479369250511,0.9741089441829186
0,10000,0.4,Louvain,False,False,False,54.08869767189026,0.6026541432080567,0.6131199486900631,0.30260664108222896
1,10000,0.4,Louvain,False,False,False,47.68946051597595,0.601790254117164,0.6123352544593934,0.29516072219490336
2,10000,0.4,Louvain,False,False,False,52.513041973114014,0.6020430312691181,0.6122133562388592,0.30527744286707076
3,10000,0.4,Louvain,False,False,False,51.099793434143066,0.602239247564331,0.6127510900474946,0.3114663886759968
4,10000,0.4,Louvain,False,False,False,40.51837754249573,0.6015976511551351,0.6116980245222072,0.3071266083095234
5,10000,0.4,Louvain,False,False,False,39.70622110366821,0.6020928025790073,0.6126137181597379,0.3022627304195698
6,10000,0.4,Louvain,False,False,False,42.800477504730225,0.6018326000741466,0.6118305204195816,0.3207918580727466
7,10000,0.4,Louvain,False,False,False,40.802295446395874,0.6023260639445908,0.6129442550780031,0.2882551519121278
8,10000,0.4,Louvain,False,False,False,39.37507653236389,0.6018905718143002,0.612005260246539,0.3024072965162803
9,10000,0.4,Louvain,False,False,False,44.030834913253784,0.6020741342705375,0.6129493437819871,0.2883311250608836
0,1000,0.5,Louvain,False,False,False,3.244577169418335,0.4620521610378648,0.5028877498541485,0.9144996256551036
1,1000,0.5,Louvain,False,False,False,3.4683361053466797,0.46611080051294634,0.5106808592543883,0.712067868504772
